brand,model,slug,class,manufacturer_flight_time_min,motors,prop_mount,prop_size_in,recommended_battery,typical_auw_g,typical_current_a,vtx_system,weight_no_battery_g,sources,note
GEPRC,Smart 35,geprc-smart-35,micro freestyle (sub-250),,GEPRC GR1404 3850KV,,3.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""850-1300"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,6,Caddx Polar Vista HD (Nano/analog variants),142.1,https://geprc.com/product/geprc-smart-35-analog-3-5inch-micro-freestyle-drone/,"Polar HD version 142.1g (Nano 137.6g, analog 127.4g). EMAX 3.5x2.8x3 props, 155mm."
GEPRC,Tern-LR40,geprc-tern-lr40,long range,7 (LiPo 750) / 25 (Li-ion 3000),GEPRC SPEEDX2 1404 3000KV,T-mount,4,"{""cells"": ""4S"", ""capacity_mah"": 3000, ""range_mah"": ""660-850 LiPo or 18650 3000 Li-ion"", ""connector"": ""XT30"", ""chemistry"": ""LiPo / Li-ion""}",,6,analog,159,https://geprc.com/product/geprc-tern-lr40-analog-long-range-fpv/,"Analog version 159g (Wasp HD: 171g, O3: 180g). Props HQProp T4X2.5. Connector XT30 not stated by GEPRC - standard for this class."
GEPRC,Vapor D5,geprc-vapor-d5,freestyle (deadcat),,GEPRC SPEEDX2 2207E 1960KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1400, ""range_mah"": ""1300-1800"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,13,DJI O4 Pro,428,https://www.rotorama.com/product/geprc-vapor-d5-o4-pro-elrs-2-4g,"O4 Pro version, 238mm deadcat frame, Gemfan 5136 props."
Happymodel,Bassline,happymodel-bassline,toothpick (2S),,Happymodel EX1103 11000KV,,2,"{""cells"": ""2S"", ""capacity_mah"": 450, ""range_mah"": ""350-650"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,4,HDZero (Walksnail/analog variants),45,https://www.happymodel.cn/index.php/2022/12/23/happymodel-bassline-2s-micro-fpv-racer-drone/,HDZero version 45g. 90mm diagonal.
Happymodel,Crux3,happymodel-crux3,toothpick (1S 3in),"4.5 (1S 650, with camera payload)",Happymodel EX1202.5 11500KV,,3,"{""cells"": ""1S"", ""capacity_mah"": 650, ""range_mah"": ""450-720"", ""chemistry"": ""LiHV""}",,6,analog,40,https://www.happymodel.cn/index.php/2021/10/11/happymodel-crux3-1s-elrs-3-inch-toothpick-fpv-racing-drone-bnf/,"115mm wheelbase, Gemfan 75mm bi-blade. NLR 18650 variant exists for long range."
Happymodel,Crux35,happymodel-crux35,toothpick (3.5in),9-15 (4S 750),Happymodel EX1404 3500KV,T-mount,3.5,"{""cells"": ""4S"", ""capacity_mah"": 750, ""range_mah"": ""750 (max 1100)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,4,analog (HDZero variant available),87,https://www.happymodel.cn/index.php/2021/08/30/happymodel-crux35-crux35-digital-hd-3-5-inch-4s-micro-freestyle-fpv-racing-drone/,Analog V2 87g (digital HD: 108g). HQProp T3.5x2x3 props.
Happymodel,Larva X,happymodel-larva-x,toothpick (2-3S),,Happymodel EX1103 7000KV,,2.5,"{""cells"": ""3S"", ""capacity_mah"": 350, ""range_mah"": ""300-450 (2-3S)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,5,analog (HD variant),50,https://www.happymodel.cn/index.php/2019/08/17/happymodel-larva-x-2-3s-micro-brushless-fpv-racer-drone/,"Legacy 100mm toothpick, still popular for racing practice."
Happymodel,Moblite6,happymodel-moblite6,tiny whoop (ultralight),,Happymodel SE0802 19000KV,1.0mm shaft,1.2,"{""cells"": ""1S"", ""capacity_mah"": 300, ""connector"": ""PH2.0"", ""chemistry"": ""LiHV (30C)""}",26,3,analog 25-200mW,18.5,https://www.happymodel.cn/index.php/2020/12/14/happymodel-moblite6-ultra-light-1s-65mm-brushless-whoop/,"Gemfan 1219 31mm props, RunCam Nano 3."
Happymodel,Moblite7,happymodel-moblite7,tiny whoop (ultralight LR),,,,1.6,"{""cells"": ""1S"", ""capacity_mah"": 450, ""range_mah"": ""450-650"", ""chemistry"": ""LiHV""}",,4,Walksnail Avatar (V3),34.5,https://www.happymodel.cn/index.php/2023/09/04/moblite7-walksnail-1s-75mm-digital-hd-brushless-whoop-v3/,"Walksnail V3 version. 75mm wheelbase, 40mm props. Battery connector varies by revision - verify before publish-critical use."
Happymodel,Mobula6 2024,happymodel-mobula6-2024,tiny whoop,,Happymodel SE0702 28000KV,1.0mm shaft,1.2,"{""cells"": ""1S"", ""capacity_mah"": 300, ""connector"": ""A30 (BT2.0 compatible)"", ""chemistry"": ""LiHV""}",,3,analog (HDZero ECO variant),17.6,https://www.happymodel.cn/index.php/2025/12/11/mobula6-2024-v3-1s-65mm-ultra-light-micro-fpv-whoop/,"2024 V3 analog 17.6g (ECO HD: 23.3g). 31mm props, 65mm wheelbase."
Happymodel,Mobula7 1S,happymodel-mobula7-1s,tiny whoop,,Happymodel SE0802 20000KV,1.0mm shaft,1.6,"{""cells"": ""1S"", ""capacity_mah"": 450, ""range_mah"": ""450-650"", ""connector"": ""A30 (GNB27/BT2.0 compatible)"", ""chemistry"": ""LiHV""}",,4,analog (HDZero variant available),24,https://www.rotorama.com/product/happymodel-mobula7-1s-elrs-2-4g,"Analog edition 24g (HD: 33g). 40mm props, 75mm wheelbase."
Happymodel,Mobula8,happymodel-mobula8,whoop (2S 85mm),,Happymodel EX1103 11000KV,1.0mm shaft,2,"{""cells"": ""2S"", ""capacity_mah"": 450, ""range_mah"": ""450-650"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,5,analog 400mW,43,https://www.happymodel.cn/index.php/2023/11/16/happymodel-mobula8-uart-elrs-2s-85mm-micro-fpv-whoop-drone/,"Gemfan 2023 tri-blade props, wheelbase 85mm. Caddx Ant camera."
HGLRC,Sector30CR,hglrc-sector30cr,cinewhoop/freestyle (3in),,HGLRC AEOLUS 2004 3000KV (4S) / 1800KV (6S),,3,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""550-1000 (4S or 6S)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,7,analog Zeus 350mW (Vista variant),190,https://www.firstquadcopter.com/news/hglrc-sector25-sector30/,"150mm wheelbase, Gemfan D76 5-blade."
HGLRC,Veyron30CR,hglrc-veyron30cr,cinewhoop,,HGLRC AEOLUS 2004 1800KV (6S) / 3000KV (4S),,3,"{""cells"": ""6S"", ""capacity_mah"": 750, ""range_mah"": ""650-850 (6S) / 750-1300 (4S)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,9,Caddx Polar Vista HD (analog variant),251,https://www.getfpv.com/hglrc-veyron30cr-3-cinewhoop-bnf-hd-w-caddx-polar-micro-vista-6s-1800kv-tbs-crossfire.html,140mm wheelbase.
iFlight,AOS 3.5 V5,iflight-aos-3-5-v5,micro freestyle (sub-250),12 hover (4S 850),iFlight XING 1504 3100KV,T-mount,3.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,7,DJI O3 (O4 Pro variant),197,https://pyrodrone.com/products/iflight-aos-3-5-v5-4s-hd-o3-fpv-freestyle-drone-bnf-pnp-choose-receiver,"Chris Rosser AOS aero design, 162mm. HQ 3.5x2.5x3 props."
iFlight,AOS 5R,iflight-aos-5r,racing,,iFlight R5 2207 2050KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1400, ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",525,14,analog (HD variants),300,https://shop.iflight.com/AOS-5R-6S-Pro2131,"Chris Rosser-designed AOS aero frame, race edition."
iFlight,Chimera4 LR,iflight-chimera4-lr,long range (sub-250),15+ (4S 850),iFlight XING 1404 3000KV (Cruiser) / 3800KV (Speed),,4,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""850 LiPo or 18650 Li-ion"", ""connector"": ""XT30"", ""chemistry"": ""LiPo / Li-ion""}",265.8,5,Caddx Nebula HD (analog variant),173,https://www.getfpv.com/iflight-chimera4-4-4s-lr-hd-freestyle-quadcopter-w-caddx-nebula-nano-digital-hd-system-bnf-11905.html,178mm wheelbase.
iFlight,Chimera7 Pro V2,iflight-chimera7-pro-v2,long range,up to 30 hover (21700 8000mAh),iFlight XING2 2809 1250KV,M5,7.5,"{""cells"": ""6S"", ""capacity_mah"": 8000, ""range_mah"": ""2000-4500 LiPo or 21700 Li-ion 6S1P-6S2P"", ""connector"": ""XT60"", ""chemistry"": ""LiPo / Li-ion""}",,12,DJI O3 (O4 Pro variant available),695,https://shop.iflight.com/Chimera7-Pro-V2-6S-Pro1947,HD version 695g; O4 Pro 725g. Wheelbase 327mm.
iFlight,Cidora SL5 V2.1,iflight-cidora-sl5,freestyle,,iFlight XING 2207 (V2.1 HD) / XING-E 2207 1800KV (SL5-E),M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1100, ""range_mah"": ""1000-1300"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,13,Caddx Nebula Nano HD (analog variants),445.4,https://www.getfpv.com/iflight-cidora-sl5-5-fpv-racing-drone-pnp.html,V2.1 HD version 445.4g. Squashed-X frame.
iFlight,Defender 16,iflight-defender-16,cinewhoop (micro),,iFlight Defender16 1103 14000KV (early units: 1002),,1.6,"{""cells"": ""2S"", ""capacity_mah"": 900, ""connector"": ""quick-release shell"", ""chemistry"": ""LiPo (25C)""}",120,4,DJI O3,71.5,https://www.getfpv.com/iflight-defender-16-1-6-sub250-drone-hd-w-dji-o3-2s.html,Dry weight derived: 120g takeoff minus 48.5g pack. Proprietary crash-protected battery shell.
iFlight,Defender 20,iflight-defender-20,cinewhoop (sub-250),7 (3S 900),iFlight Defender20 1204 6200KV,,2,"{""cells"": ""3S"", ""capacity_mah"": 900, ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",247,6,DJI O3 (O4 Lite 2S variant),178,https://shop.iflight.com/Defender-20-3S-HD-RTF-Pro2019,3S HD version; quick-release crash-protected battery shell. Defender20 2020-3 props.
iFlight,Defender 25,iflight-defender-25,cinewhoop (sub-250),6 (550mAh) / 10 (900mAh),iFlight Defender25 1404,,2.5,"{""cells"": ""4S"", ""capacity_mah"": 550, ""range_mah"": ""550 (sub-250) or 900"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",249,5,DJI O3 (O4 variant available),180,https://shop.iflight.com/Defender-25-O3-4S-HD-Pro1923,O3 version. Defender25 2525 props. AUW 249g with 550mAh pack.
iFlight,Green Hornet V3,iflight-green-hornet-v3,cinewhoop,,iFlight XING 1408 3600KV (4S) / 1507 2800KV (6S),,3,"{""cells"": ""4S"", ""capacity_mah"": 1300, ""range_mah"": ""1300 (4S) / 1050 (6S)"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,9,analog 300mW (HD variants),280.1,https://www.getfpv.com/iflight-green-hornet-v3-3-bnf-cinewhoop-w-runcam-nano-2-pnp-4s-6s.html,"Bumper-guard cinewhoop, RunCam Nano 2."
iFlight,Nazgul DC5 ECO,iflight-nazgul-dc5-eco,freestyle (budget),11.5 hover (6S 1550),iFlight XING-E Pro 2207 1800KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1400, ""range_mah"": ""1300-1500"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",675,13,DJI O4 Pro (O3 variant),450,https://shop.iflight.com/Nazgul-DC5-ECO-6S-O4-HD-Pro2263,Budget DeadCat 240mm. XL5 ECO variant exists.
iFlight,Nazgul Evoque F5 V2,iflight-nazgul-evoque-f5-v2,freestyle,,iFlight XING-E Pro 2207 1800KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1400, ""range_mah"": ""1300-1500"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",644,13,DJI O3 (O4 variant available),419,https://shop.iflight.com/Nazgul-Evoque-F5-V2-6S-Pro1954,6S HD version. Squashed-X 225mm / DeadCat 223mm frame geometry.
iFlight,Nazgul Evoque F5 V3,iflight-nazgul-evoque-f5-v3,freestyle,12-13 hover (6S 1480),iFlight XING2 2207 1750KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1480, ""range_mah"": ""1480-1550"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",736,13,DJI O4 Pro,492,https://shop.iflight.com/Nazgul-Evoque-F5-V3-O4-6S-HD-Pro2397,O4 Pro + GPS version. DeadCat 236mm / True X 239mm dual geometry.
iFlight,Nazgul XL5 ECO,iflight-nazgul-xl5-eco,freestyle (budget),,iFlight XING-E Pro 2207 1800KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1400, ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",652,13,analog 1.6W,427,https://shop.iflight.com/Nazgul-XL5-ECO-6S-Pro2193,"Budget analog True-X 245mm, Nazgul F5 props."
iFlight,Nazgul5 V2,iflight-nazgul5-v2,freestyle,,iFlight XING-E 2207 1800KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1400, ""range_mah"": ""1300-1500"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",620,13,analog (HD variants),393.4,https://shop.iflight.com/Nazgul5-Analog-V2-6S-BNF-Pro1820,"Legacy bestseller, superseded by V3 but still widely flown. 235mm wheelbase."
iFlight,Nazgul5 V3,iflight-nazgul5-v3,freestyle,,iFlight XING-E Pro 2207 1800KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1400, ""range_mah"": ""1300-1500"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",660,13,DJI O3,435,https://www.getfpv.com/iflight-nazgul5-v3-hd-5-fpv-freestyle-bnf-w-dji-o3-air-unit-6s.html,"HD O3 version. Wheelbase 245mm, Nazgul 5140 props."
iFlight,ProTek25 Pusher,iflight-protek25-pusher,cinewhoop (pusher),,iFlight XING 1404 4600KV,,2.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""650-850"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,6,Caddx Polar Vista HD (analog variant),143.8,https://www.getfpv.com/iflight-protek25-pusher-2-5-4s-hd-bnf-cinewhoop-w-caddx-polar-vista-digital-hd-system.html,Pusher variant 143.8g; standard ProTek25 194.3g with 1404 5500KV.
iFlight,ProTek35 V1.4,iflight-protek35,cinewhoop,6 hover (6S 1400),iFlight 2205 2300KV,,3.5,"{""cells"": ""6S"", ""capacity_mah"": 1400, ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,11,DJI O3,363,https://shop.iflight.com/ProTek35-V1.4-O3-6S-HD-Pro2033,"O3 HD version 363g; analog 216g. Nazgul 3535 props, wheelbase 151mm."
iFlight,ProTek60 Pro,iflight-protek60-pro,cinelifter (6in),3-6,iFlight XING2 3110 1600KV,,6,"{""cells"": ""6S"", ""capacity_mah"": 4400, ""range_mah"": ""3700-5600"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,40,DJI O3 (Air Unit variants),1466,https://shop.iflight.com/ProTek60-Pro-O3-6S-HD-Cinelifter-Pro1976,"Ducted cinelifter for BMPCC/Z-CAM payloads (up to 1.5kg). 282mm, Nazgul 6x4x3."
NewBeeDrone,AcroBee65 BLV4,newbeedrone-acrobee65-blv4,tiny whoop,,NewBeeDrone Flow 0802 (27000KV Ghost edition available),1.0mm shaft,1.4,"{""cells"": ""1S (2S with throttle cap)"", ""capacity_mah"": 300, ""connector"": ""PH2.0"", ""chemistry"": ""LiHV (Nitro Nectar Gold)""}",,4,"analog (5-25mW, 400mW SmartMAX)",24.8,https://oscarliang.com/newbeedrone-acrobee65-blv4-tiny-whoop/,Connector PH2.0 per NewBeeDrone Nitro Nectar line; verify on newbeedrone.com before publish-critical use.
NewBeeDrone,AcroBee75 BLV5,newbeedrone-acrobee75-blv5,whoop (75mm 1-2S),,NewBeeDrone Flow 0804 (2S 14000KV),,1.6,"{""cells"": ""2S"", ""capacity_mah"": 450, ""connector"": ""XT30"", ""chemistry"": ""LiHV (supports 1S/2S)""}",,5,analog (O3/O4 HD pusher variants),36.4,https://newbeedrone.com/products/newbeedrone-acrobee75-blv5-bnf-elrs2-4g-2s,BLV5 analog version 36.4g; O3/O4 HD variants heavier.
SpeedyBee,Bee25,speedybee-bee25,cinewhoop,,SpeedyBee 1404 V2 4600KV,T-mount,2.5,"{""cells"": ""4S"", ""capacity_mah"": 850, ""range_mah"": ""650-1100 (4S) / 650-850 (6S build)"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,7,modular (no VTX included; analog/DJI/Walksnail mounts),124,https://www.speedybee.com/speedybee-bee25-frame/,"Assembled ELRS version 124g. HQProp DT63x3, 120mm wheelbase, Meteor LED ring."
SpeedyBee,Flex25,speedybee-flex25,cinewhoop (ducted),,SpeedyBee 1404 4500KV,,2.5,"{""cells"": ""4S"", ""capacity_mah"": 650, ""range_mah"": ""450-850"", ""connector"": ""XT30"", ""chemistry"": ""LiPo""}",,7,analog TX800 (HD O3/Falcon variants),140,https://www.speedybee.com/speedybee-flex25-analog-cinewhoop/,78mm wheelbase unibody duct - 2.5in props in 2in-class footprint. Gemfan D63-3.
SpeedyBee,Master 5 V2,speedybee-master-5-v2,freestyle,,SpeedyBee 2306.5 1800KV,M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1300, ""range_mah"": ""1050-1500"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,13,DJI O3 (analog variant available),420,https://www.getfpv.com/speedybee-master-5-v2-drone.html,HD O3 version 420g (analog ~410g).
Sub250,Nanofly16,sub250-nanofly16,ultralight toothpick,4.5,Sub250 M1 0803 19000KV,,1.6,"{""cells"": ""1S"", ""capacity_mah"": 380, ""connector"": ""GNB27"", ""chemistry"": ""LiHV (90C)""}",38,4,analog (Caddx Ant),28,https://sub250.com/products/1s-nanofly-16-freestyle-quadcopter,"77mm wheelbase, 40mm props."
Sub250,Nanofly20,sub250-nanofly20,micro freestyle (2in),,Sub250 1002 14000KV (2S HD) / 21000KV (1S analog),,2,"{""cells"": ""2S"", ""capacity_mah"": 500, ""connector"": ""GNB27"", ""chemistry"": ""LiPo""}",,5,DJI O4 (1S analog variant 33g),77,https://www.getfpv.com/sub250-nanofly20-2-drone-hd-w-dji-o4.html,"2S O4 HD version 77g; 1S analog 33g. HQ 51mm props, 88mm wheelbase."
Sub250,Whoopfly16,sub250-whoopfly16,tiny whoop,4.5 (1S 530),Sub250 1002 21000KV,1.0mm shaft,1.6,"{""cells"": ""1S"", ""capacity_mah"": 530, ""connector"": ""GNB27"", ""chemistry"": ""LiHV""}",55.7,6,Walksnail Avatar (analog/HDZero variants available),42.9,https://sub250.com/collections/whoopfly16-series,"Walksnail HD version 42.9g (analog ~35g). Gemfan 1608 40mm props, pusher config."
T-Motor,FT5 MKII,t-motor-ft5-mkii,freestyle,,T-Motor Velox V2 2306 1950KV (6S),M5,5.1,"{""cells"": ""6S"", ""capacity_mah"": 1300, ""range_mah"": ""1100-1500"", ""connector"": ""XT60"", ""chemistry"": ""LiPo""}",,13,DJI Air Unit HD (Vista/analog variants),424,https://www.getfpv.com/t-motor-ft5-mkii-v2-hd-5-6s-fpv-freestyle-drone-w-dji-air-unit-pnp.html,"Battery range is class-standard - T-Motor does not publish a recommendation. T4943 props, 225mm."
